id,timePeriod,geography,productType,sku,brand,unitsSold,totalRevenue,marketAvgPrice,totalMarketUnitsSold,promoType,price_t_minus_1,volume_t_minus_1,absolutePrice,priceIndex,marketShare,deltaPricePP,elasticityValue,absElasticity
"CC12C12-N-2301","2023-01","North","Regular","CC12C12","Coca-Cola",5500,43890,8.10,150000,"None",7.90,5400,7.98,98.51851851851852,3.6666666666666665,1.0126582278481013,1.829268292682927,1.829268292682927
"CZS20B1-S-2301","2023-01","South","Zero Sugar","CZS20B1","Coca-Cola",3100,6107,2.05,95000,"Display",1.95,3050,1.97,96.09756097560975,3.263157894736842,1.0256410256410255,1.60327868852459,1.60327868852459
"CC2LB1-N-2301","2023-01","North","Regular","CC2LB1","Coca-Cola",4200,9198,2.25,110000,"None",2.18,4150,2.19,97.33333333333334,3.8181818181818183,0.45871559633027525,2.6265060240963856,2.6265060240963856
"CCH12C12-S-2301","2023-01","South","Flavor Variant","CCH12C12","Coca-Cola",2100,17199,8.25,80000,"None",8.10,2050,8.19,99.27272727272727,2.625,1.1111111111111112,2.195121951219512,2.195121951219512
"CVN20B1-N-2301","2023-01","North","Flavor Variant","CVN20B1","Coca-Cola",1550,3084.5,2.08,75000,"None",1.98,1500,1.99,95.67307692307693,2.066666666666667,0.5050505050505051,6.600000000000001,6.600000000000001
"FO12C12-S-2301","2023-01","South","Flavor Variant","FO12C12","Fanta",3800,30020,8.00,120000,"None",7.80,3700,7.90,98.75,3.1666666666666665,1.282051282051282,2.114864864864865,2.114864864864865
"FG20B1-N-2301","2023-01","North","Flavor Variant","FG20B1","Fanta",2400,4728,2.00,85000,"None",1.95,2350,1.97,98.5,2.823529411764706,1.0256410256410255,2.081914893617021,2.081914893617021
"FOZS2LB1-S-2301","2023-01","South","Zero Sugar","FOZS2LB1","Fanta",1900,4085,2.20,70000,"Display",2.10,1800,2.15,97.72727272727273,2.7142857142857144,2.380952380952381,2.3333333333333335,2.3333333333333335
"FST12C12-N-2301","2023-01","North","Flavor Variant","FST12C12","Fanta",1700,13770,8.15,75000,"None",8.00,1650,8.10,99.38650306748466,2.2666666666666666,1.25,2.4242424242424243,2.4242424242424243
"FPI20B1-S-2301","2023-01","South","Flavor Variant","FPI20B1","Fanta",1200,2364,2.02,65000,"None",1.94,1150,1.97,97.52475247524752,1.8461538461538463,1.5463917525773196,2.8055555555555554,2.8055555555555554
